"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"scale-free" 1 1018 15 "Nlasso_JOE(OR)" 16 280 118 39586 0.443609022556391
"scale-free" 1 1018 15 "Nlasso(AND)" 1724 0 398 37878 0.315873015873016
"scale-free" 1 1018 15 "Nlasso(OR)" 2114 0 398 37488 0.273539518900344
"scale-free" 1 1018 15 "Glasso" 28 270 128 39574 0.462093862815884
"scale-free" 1 1018 15 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 15 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 16 "Nlasso_JOE(AND)" 0 322 76 39602 0.320675105485232
"scale-free" 1 1018 16 "Nlasso_JOE(OR)" 12 282 116 39590 0.44106463878327
"scale-free" 1 1018 16 "Nlasso(AND)" 200 2 396 39402 0.796780684104628
"scale-free" 1 1018 16 "Nlasso(OR)" 322 2 396 39280 0.709677419354839
"scale-free" 1 1018 16 "Glasso" 30 270 128 39572 0.460431654676259
"scale-free" 1 1018 16 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 16 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 17 "Nlasso_JOE(AND)" 0 54 344 39602 0.92722371967655
"scale-free" 1 1018 17 "Nlasso_JOE(OR)" 32 20 378 39570 0.935643564356436
"scale-free" 1 1018 17 "Nlasso(AND)" 1756 2 396 37846 0.310588235294118
"scale-free" 1 1018 17 "Nlasso(OR)" 1342 2 396 38260 0.370786516853933
"scale-free" 1 1018 17 "Glasso" 24 278 120 39578 0.44280442804428
"scale-free" 1 1018 17 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 17 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 18 "Nlasso_JOE(AND)" 0 316 82 39602 0.341666666666667
"scale-free" 1 1018 18 "Nlasso_JOE(OR)" 10 270 128 39592 0.477611940298507
"scale-free" 1 1018 18 "Nlasso(AND)" 1732 0 398 37870 0.314873417721519
"scale-free" 1 1018 18 "Nlasso(OR)" 2072 0 398 37530 0.277545327754533
"scale-free" 1 1018 18 "Glasso" 22 262 136 39580 0.489208633093525
"scale-free" 1 1018 18 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 18 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 19 "Nlasso_JOE(AND)" 0 314 84 39602 0.348547717842324
"scale-free" 1 1018 19 "Nlasso_JOE(OR)" 10 270 128 39592 0.477611940298507
"scale-free" 1 1018 19 "Nlasso(AND)" 202 4 394 39400 0.792756539235412
"scale-free" 1 1018 19 "Nlasso(OR)" 370 0 398 39232 0.682675814751286
"scale-free" 1 1018 19 "Glasso" 22 264 134 39580 0.483754512635379
"scale-free" 1 1018 19 "DBGlasso_Holm" 0 398 0 39602 0
"scale-free" 1 1018 19 "DBGlasso_FDR" 0 398 0 39602 0
"scale-free" 1 1018 20 "Nlasso_JOE(AND)" 0 320 78 39602 0.327731092436975
"scale-free" 1 1018 20 "Nlasso_JOE(OR)" 6 286 112 39596 0.434108527131783
"scale-free" 1 1018 20 "Nlasso(AND)" 174 2 396 39428 0.818181818181818
"scale-free" 1 1018 20 "Nlasso(OR)" 308 2 396 39294 0.718693284936479
"scale-free" 1 1018 20 "Glasso" 16 274 124 39586 0.460966542750929
