"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"star" 1 600 15 "Nlasso(OR)" 2170 34 346 37450 0.238950276243094
"star" 1 600 15 "Glasso" 740 0 380 38880 0.506666666666667
"star" 1 600 16 "Nlasso_JOE(AND)" 28 78 302 39592 0.850704225352113
"star" 1 600 16 "Nlasso_JOE(OR)" 224 4 376 39396 0.76734693877551
"star" 1 600 16 "Nlasso(AND)" 1626 56 324 37994 0.278111587982833
"star" 1 600 16 "Nlasso(OR)" 1578 20 360 38042 0.310612597066437
"star" 1 600 16 "Glasso" 792 0 380 38828 0.489690721649485
"star" 1 600 17 "Nlasso_JOE(AND)" 12 104 276 39608 0.826347305389222
"star" 1 600 17 "Nlasso_JOE(OR)" 194 6 374 39426 0.789029535864979
"star" 1 600 17 "Nlasso(AND)" 500 104 276 39120 0.477508650519031
"star" 1 600 17 "Nlasso(OR)" 1010 34 346 38610 0.398617511520737
"star" 1 600 17 "Glasso" 686 2 378 38934 0.523545706371191
"star" 1 600 18 "Nlasso_JOE(AND)" 30 90 290 39590 0.828571428571429
"star" 1 600 18 "Nlasso_JOE(OR)" 244 10 370 39376 0.744466800804829
"star" 1 600 18 "Nlasso(AND)" 572 94 286 39048 0.462035541195477
"star" 1 600 18 "Nlasso(OR)" 1086 32 348 38534 0.383682469680265
"star" 1 600 18 "Glasso" 802 0 380 38818 0.486555697823303
"star" 1 600 19 "Nlasso_JOE(AND)" 546 58 322 39074 0.516025641025641
"star" 1 600 19 "Nlasso_JOE(OR)" 2638 4 376 36982 0.221567472009428
"star" 1 600 19 "Nlasso(AND)" 1528 62 318 38092 0.285714285714286
"star" 1 600 19 "Nlasso(OR)" 2136 24 356 37484 0.247910863509749
"star" 1 600 19 "Glasso" 717 2 378 38903 0.512542372881356
"star" 1 600 20 "Nlasso_JOE(AND)" 20 86 294 39600 0.847262247838617
"star" 1 600 20 "Nlasso_JOE(OR)" 216 14 366 39404 0.760914760914761
"star" 1 600 20 "Nlasso(AND)" 582 96 284 39038 0.455858747993579
"star" 1 600 20 "Nlasso(OR)" 1110 34 346 38510 0.376906318082789
"star" 1 600 20 "Glasso" 822 6 374 38798 0.474619289340102
"chain" 1 800 1 "Nlasso_JOE(AND)" 50 14 384 39552 0.923076923076923
"chain" 1 800 1 "Nlasso_JOE(OR)" 460 12 386 39142 0.620578778135048
"chain" 1 800 1 "Nlasso(AND)" 310 6 392 39292 0.712727272727273
"chain" 1 800 1 "Nlasso(OR)" 968 4 394 38634 0.447727272727273
"chain" 1 800 1 "Glasso" 1484 2 396 38118 0.347673397717296
"chain" 1 800 2 "Nlasso_JOE(AND)" 56 10 388 39546 0.921615201900237
"chain" 1 800 2 "Nlasso_JOE(OR)" 416 4 394 39186 0.652317880794702
"chain" 1 800 2 "Nlasso(AND)" 298 2 396 39304 0.725274725274725
"chain" 1 800 2 "Nlasso(OR)" 912 0 398 38690 0.466042154566745
"chain" 1 800 2 "Glasso" 1478 0 398 38124 0.350043975373791
"chain" 1 800 3 "Nlasso_JOE(AND)" 84 16 382 39518 0.884259259259259
"chain" 1 800 3 "Nlasso_JOE(OR)" 512 10 388 39090 0.597842835130971
"chain" 1 800 3 "Nlasso(AND)" 374 6 392 39228 0.673539518900344
"chain" 1 800 3 "Nlasso(OR)" 994 2 396 38608 0.442953020134228
"chain" 1 800 3 "Glasso" 1514 0 398 38088 0.344588744588745
"chain" 1 800 4 "Nlasso_JOE(AND)" 46 12 386 39556 0.930120481927711
"chain" 1 800 4 "Nlasso_JOE(OR)" 436 6 392 39166 0.639477977161501
"chain" 1 800 4 "Nlasso(AND)" 326 0 398 39276 0.709447415329768
"chain" 1 800 4 "Nlasso(OR)" 1006 0 398 38596 0.44173140954495
"chain" 1 800 4 "Glasso" 1378 0 398 38224 0.366145354185833
"chain" 1 800 5 "Nlasso_JOE(AND)" 64 12 386 39538 0.910377358490566
"chain" 1 800 5 "Nlasso_JOE(OR)" 444 8 390 39158 0.633116883116883
"chain" 1 800 5 "Nlasso(AND)" 362 2 396 39240 0.685121107266436
"chain" 1 800 5 "Nlasso(OR)" 934 2 396 38668 0.458333333333333
"chain" 1 800 5 "Glasso" 1466 2 396 38136 0.350442477876106
"chain" 1 800 6 "Nlasso_JOE(AND)" 32 14 384 39570 0.943488943488944
"chain" 1 800 6 "Nlasso_JOE(OR)" 476 2 396 39126 0.623622047244095
"chain" 1 800 6 "Nlasso(AND)" 364 2 396 39238 0.683937823834197
"chain" 1 800 6 "Nlasso(OR)" 1060 2 396 38542 0.427184466019417
"chain" 1 800 6 "Glasso" 1506 0 398 38096 0.345786272806255
"chain" 1 800 7 "Nlasso_JOE(AND)" 342 2 396 39260 0.697183098591549
"chain" 1 800 7 "Nlasso_JOE(OR)" 2632 0 398 36970 0.23220536756126
"chain" 1 800 7 "Nlasso(AND)" 354 0 398 39248 0.692173913043478
"chain" 1 800 7 "Nlasso(OR)" 980 0 398 38622 0.448198198198198
"chain" 1 800 7 "Glasso" 1452 0 398 38150 0.354092526690391
"chain" 1 800 8 "Nlasso_JOE(AND)" 50 16 382 39552 0.920481927710843
"chain" 1 800 8 "Nlasso_JOE(OR)" 474 4 394 39128 0.622432859399684
"chain" 1 800 8 "Nlasso(AND)" 296 4 394 39306 0.724264705882353
"chain" 1 800 8 "Nlasso(OR)" 1014 2 396 38588 0.438053097345133
"chain" 1 800 8 "Glasso" 1526 0 398 38076 0.342807924203273
"chain" 1 800 9 "Nlasso_JOE(AND)" 36 12 386 39566 0.941463414634146
"chain" 1 800 9 "Nlasso_JOE(OR)" 448 8 390 39154 0.631067961165049
"chain" 1 800 9 "Nlasso(AND)" 350 2 396 39252 0.692307692307692
"chain" 1 800 9 "Nlasso(OR)" 994 2 396 38608 0.442953020134228
"chain" 1 800 9 "Glasso" 1512 0 398 38090 0.344887348353553
"chain" 1 800 10 "Nlasso_JOE(AND)" 62 20 378 39540 0.902147971360382
"chain" 1 800 10 "Nlasso_JOE(OR)" 452 18 380 39150 0.617886178861789
"chain" 1 800 10 "Nlasso(AND)" 378 6 392 39224 0.671232876712329
"chain" 1 800 10 "Nlasso(OR)" 1060 4 394 38542 0.42548596112311
"chain" 1 800 10 "Glasso" 1432 0 398 38170 0.357271095152603
