"graph_type" "ms_sc" "n" "seed" "est_method" "FP" "FN" "TP" "TN" "F1"
"ABA" 1 12000 16 "Nlasso_JOE(OR)" 46 47 244 51192 0.839931153184165
"ABA" 1 12000 16 "Nlasso(AND)" 130 81 210 51108 0.665610142630745
"ABA" 1 12000 16 "Nlasso(OR)" 158 65 226 51080 0.66962962962963
"ABA" 1 12000 16 "Glasso" 306 37 254 50932 0.596944770857814
"ABA" 1 12000 17 "Nlasso_JOE(AND)" 12 107 184 51226 0.75564681724846
"ABA" 1 12000 17 "Nlasso_JOE(OR)" 37 46 245 51201 0.855148342059337
"ABA" 1 12000 17 "Nlasso(AND)" 102 79 212 51136 0.700826446280992
"ABA" 1 12000 17 "Nlasso(OR)" 110 59 232 51128 0.733017377567141
"ABA" 1 12000 17 "Glasso" 277 32 259 50961 0.626360338573156
"ABA" 1 12000 18 "Nlasso_JOE(AND)" 4 105 186 51234 0.773388773388773
"ABA" 1 12000 18 "Nlasso_JOE(OR)" 25 48 243 51213 0.869409660107335
"ABA" 1 12000 18 "Nlasso(AND)" 118 87 204 51120 0.66557911908646
"ABA" 1 12000 18 "Nlasso(OR)" 130 67 224 51108 0.694573643410853
"ABA" 1 12000 18 "Glasso" 274 43 248 50964 0.610086100861009
"ABA" 1 12000 19 "Nlasso_JOE(AND)" 5 98 193 51233 0.789366053169734
"ABA" 1 12000 19 "Nlasso_JOE(OR)" 41 36 255 51197 0.868824531516184
"ABA" 1 12000 19 "Nlasso(AND)" 103 78 213 51135 0.701812191103789
"ABA" 1 12000 19 "Nlasso(OR)" 119 58 233 51119 0.724727838258165
"ABA" 1 12000 19 "Glasso" 293 38 253 50945 0.604540023894863
"ABA" 1 12000 20 "Nlasso_JOE(AND)" 8 101 190 51230 0.777096114519427
"ABA" 1 12000 20 "Nlasso_JOE(OR)" 30 47 244 51208 0.863716814159292
"ABA" 1 12000 20 "Nlasso(AND)" 112 81 210 51126 0.68515497553018
"ABA" 1 12000 20 "Nlasso(OR)" 128 69 222 51110 0.692667706708268
"ABA" 1 12000 20 "Glasso" 312 37 254 50926 0.592765460910152
"ABA" 1 8000 1 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 1 "DBGlasso_FDR" 0 247 44 51238 0.262686567164179
"ABA" 1 8000 2 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 2 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 3 "DBGlasso_Holm" 0 259 32 51238 0.198142414860681
"ABA" 1 8000 3 "DBGlasso_FDR" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 4 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 4 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 5 "DBGlasso_Holm" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 5 "DBGlasso_FDR" 0 245 46 51238 0.27299703264095
"ABA" 1 8000 6 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 6 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 7 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 7 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 8 "DBGlasso_Holm" 0 257 34 51238 0.209230769230769
"ABA" 1 8000 8 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 9 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 9 "DBGlasso_FDR" 0 249 42 51238 0.252252252252252
"ABA" 1 8000 10 "DBGlasso_Holm" 0 253 38 51238 0.231003039513678
"ABA" 1 8000 10 "DBGlasso_FDR" 0 251 40 51238 0.241691842900302
"ABA" 1 8000 11 "DBGlasso_Holm" 0 255 36 51238 0.220183486238532
"ABA" 1 8000 11 "DBGlasso_FDR" 0 253 38 51238 0.231003039513678
